X_0,Y_0,Z_0,ODBA_0,X_1,Y_1,Z_1,ODBA_1,X_2,Y_2,Z_2,ODBA_2,X_3,Y_3,Z_3,ODBA_3,X_4,Y_4,Z_4,ODBA_4,X_5,Y_5,Z_5,ODBA_5,X_6,Y_6,Z_6,ODBA_6,X_7,Y_7,Z_7,ODBA_7,X_8,Y_8,Z_8,ODBA_8,X_9,Y_9,Z_9,ODBA_9,Comportamiento
-0.0156,-0.7188,0.6875,0.0125200000000001,-0.0156,-0.7031,0.6719,0.0187866666666666,-0.0156,-0.7188,0.6875,0.0125200000000001,-0.0156,-0.7188,0.7031,0.02812,-0.0156,-0.7188,0.6875,0.0125200000000001,-0.0156,-0.7031,0.6875,0.0167066666666664,-0.0313,-0.7188,0.6719,0.0302933333333336,-0.0156,-0.7188,0.6719,0.0146000000000003,-0.0156,-0.7188,0.6719,0.0146000000000003,-0.0156,-0.7188,0.6719,0.0146000000000003,0.0
-0.0156,-0.7188,0.6563,0.0302000000000003,-0.0156,-0.7188,0.6875,0.0125200000000001,0.0,-0.7031,0.6563,0.0499866666666667,-0.0156,-0.7188,0.6875,0.0125200000000001,-0.0156,-0.7031,0.6875,0.0167066666666664,-0.0156,-0.7031,0.6719,0.0187866666666666,-0.0156,-0.7031,0.6719,0.0187866666666666,-0.0156,-0.7031,0.6875,0.0167066666666664,-0.0156,-0.7031,0.6875,0.0167066666666664,-0.0156,-0.7031,0.6875,0.0167066666666664,0.0
-0.0156,-0.7031,0.6875,0.0182533333333335,-0.0156,-0.7031,0.6875,0.0182533333333335,-0.0313,-0.6875,0.6875,0.0495533333333334,-0.0313,-0.7031,0.6719,0.0360400000000006,-0.0156,-0.7031,0.6719,0.0203400000000006,-0.0156,-0.7344,0.6719,0.0296599999999999,0.0,-0.7188,0.6719,0.0286466666666665,-0.0156,-0.7188,0.7031,0.0275733333333327,-0.0156,-0.7031,0.6875,0.0182533333333335,0.0,-0.7031,0.6875,0.0328400000000001,0.0
-0.0156,-0.7188,0.7188,0.0432733333333327,-0.0156,-0.7188,0.6875,0.0119733333333327,0.0,-0.7031,0.6719,0.0349266666666673,-0.0156,-0.7188,0.6875,0.0119733333333327,-0.0156,-0.7188,0.6719,0.0140599999999999,0.0,-0.7188,0.6875,0.0265599999999994,-0.0156,-0.7188,0.6719,0.0140599999999999,0.0,-0.7188,0.6563,0.0442466666666666,-0.0156,-0.7188,0.6719,0.0140599999999999,-0.0156,-0.7188,0.6563,0.0296599999999999,0.0
-0.0156,-0.7031,0.6406,0.0516400000000007,-0.0313,-0.7188,0.6875,0.0276733333333327,-0.0313,-0.7188,0.7188,0.0589733333333327,-0.0156,-0.7188,0.7031,0.0275733333333327,-0.0156,-0.7188,0.6875,0.0119733333333327,-0.0156,-0.7188,0.6563,0.0296599999999999,-0.0156,-0.7188,0.6875,0.0119733333333327,-0.0156,-0.7188,0.6875,0.0119733333333327,-0.0156,-0.7188,0.6563,0.0296599999999999,-0.0156,-0.7188,0.6875,0.0119733333333327,0.0
-0.0313,-0.7188,0.6719,0.0240500000000005,-0.0156,-0.7188,0.6875,0.0208566666666664,-0.0156,-0.7188,0.6719,0.0114966666666672,-0.0156,-0.7188,0.6719,0.0114966666666672,-0.0313,-0.7188,0.6875,0.0334099999999998,-0.0156,-0.7188,0.6719,0.0114966666666672,-0.0313,-0.7188,0.6875,0.0334099999999998,-0.0313,-0.7188,0.6875,0.0334099999999998,-0.0156,-0.7188,0.6719,0.0114966666666672,-0.0156,-0.7188,0.6875,0.0208566666666664,0.0
-0.0156,-0.7031,0.6875,0.0229499999999995,-0.0156,-0.7031,0.7031,0.0385499999999994,-0.0156,-0.7031,0.6719,0.0135900000000002,-0.0156,-0.7188,0.6719,0.0114966666666672,-0.0156,-0.7188,0.6719,0.0114966666666672,-0.0156,-0.7031,0.6719,0.0135900000000002,-0.0156,-0.7031,0.6719,0.0135900000000002,-0.0156,-0.7188,0.6719,0.0114966666666672,-0.0156,-0.7188,0.6563,0.0270966666666672,-0.0156,-0.7031,0.6563,0.0291900000000003,0.0
-0.0156,-0.7031,0.6719,0.0135900000000002,-0.0156,-0.7031,0.6875,0.0229499999999995,-0.0156,-0.7031,0.6875,0.0229499999999995,-0.0156,-0.7031,0.6719,0.0135900000000002,-0.0156,-0.7188,0.6719,0.0114966666666672,-0.0156,-0.7031,0.6719,0.0135900000000002,-0.0156,-0.7031,0.6719,0.0135900000000002,-0.0156,-0.7188,0.6563,0.0270966666666672,-0.0156,-0.7031,0.6719,0.0135900000000002,0.0,-0.7188,0.6563,0.0426966666666672,0.0
0.0,-0.7031,0.6719,0.02808,0.0,-0.7031,0.6875,0.0218400000000001,0.0,-0.6875,0.6875,0.0155999999999999,0.0,-0.6875,0.6719,0.0218399999999998,-0.0156,-0.6875,0.6875,0.0187199999999999,-0.0156,-0.6875,0.6719,0.0249599999999998,0.0,-0.6875,0.6875,0.0155999999999999,-0.0156,-0.7031,0.6719,0.0312,-0.0156,-0.7031,0.6875,0.0249600000000001,-0.0156,-0.7031,0.6875,0.0249600000000001,0.0
-0.0156,-0.6875,0.6875,0.0187199999999999,-0.0156,-0.6875,0.7031,0.0343199999999999,-0.0156,-0.6875,0.6875,0.0187199999999999,-0.0156,-0.6875,0.6719,0.0249599999999998,-0.0156,-0.6875,0.6875,0.0187199999999999,-0.0156,-0.7031,0.6719,0.0312,0.0,-0.6875,0.6875,0.0155999999999999,0.0,-0.6875,0.6563,0.0374399999999999,0.0,-0.6875,0.6719,0.0218399999999998,0.0,-0.6875,0.6875,0.0155999999999999,0.0
